GEO_ID,NAME,Total,NonHisp,NonHispWhite,NonHispanicBlack,Hispanic,NH,NHW,NHB,Hisp,FIPS,County,State
0500000US01001,"Autauga County, Alabama",55200,53672,41412,10475,1528,97.23,75.02,18.98,2.77,1001,Autauga County,Alabama
0500000US01003,"Baldwin County, Alabama",208107,198754,172768,19529,9353,95.51,83.02,9.38,4.49,1003,Baldwin County,Alabama
0500000US01005,"Barbour County, Alabama",25782,24676,11898,12199,1106,95.71,46.15,47.32,4.29,1005,Barbour County,Alabama
0500000US01007,"Bibb County, Alabama",22527,21980,16801,4974,547,97.57,74.58,22.08,2.43,1007,Bibb County,Alabama
0500000US01009,"Blount County, Alabama",57645,52384,50232,820,5261,90.87,87.14,1.42,9.13,1009,Blount County,Alabama
0500000US01011,"Bullock County, Alabama",10352,10301,2228,7893,51,99.51,21.52,76.25,0.49,1011,Bullock County,Alabama
0500000US01013,"Butler County, Alabama",20025,19958,10384,9027,67,99.67,51.86,45.08,0.33,1013,Butler County,Alabama
0500000US01015,"Calhoun County, Alabama",115098,110895,83423,23618,4203,96.35,72.48,20.52,3.65,1015,Calhoun County,Alabama
0500000US01017,"Chambers County, Alabama",33826,33058,18872,13319,768,97.73,55.79,39.38,2.27,1017,Chambers County,Alabama
0500000US01019,"Cherokee County, Alabama",25853,25455,23730,1267,398,98.46,91.79,4.9,1.54,1019,Cherokee County,Alabama
0500000US01021,"Chilton County, Alabama",43930,40514,35205,4112,3416,92.22,80.14,9.36,7.78,1021,Chilton County,Alabama
0500000US01023,"Choctaw County, Alabama",13075,13002,7370,5570,73,99.44,56.37,42.6,0.56,1023,Choctaw County,Alabama
0500000US01025,"Clarke County, Alabama",24387,24339,12895,11173,48,99.8,52.88,45.82,0.2,1025,Clarke County,Alabama
0500000US01027,"Clay County, Alabama",13378,12963,10740,1971,415,96.9,80.28,14.73,3.1,1027,Clay County,Alabama
0500000US01029,"Cleburne County, Alabama",14938,14576,13839,393,362,97.58,92.64,2.63,2.42,1029,Cleburne County,Alabama
0500000US01031,"Coffee County, Alabama",51288,47739,36223,8746,3549,93.08,70.63,17.05,6.92,1031,Coffee County,Alabama
0500000US01033,"Colbert County, Alabama",54495,53146,42865,8561,1349,97.52,78.66,15.71,2.48,1033,Colbert County,Alabama
0500000US01035,"Conecuh County, Alabama",12514,12409,6274,5961,105,99.16,50.14,47.63,0.84,1035,Conecuh County,Alabama
0500000US01037,"Coosa County, Alabama",10855,10805,7084,3713,50,99.54,65.26,34.21,0.46,1037,Coosa County,Alabama
0500000US01039,"Covington County, Alabama",37351,36747,31146,4790,604,98.38,83.39,12.82,1.62,1039,Covington County,Alabama
0500000US01041,"Crenshaw County, Alabama",13865,13590,9869,3147,275,98.02,71.18,22.7,1.98,1041,Crenshaw County,Alabama
0500000US01043,"Cullman County, Alabama",82313,78770,75826,954,3543,95.7,92.12,1.16,4.3,1043,Cullman County,Alabama
0500000US01045,"Dale County, Alabama",49255,46185,34005,9611,3070,93.77,69.04,19.51,6.23,1045,Dale County,Alabama
0500000US01047,"Dallas County, Alabama",40029,39617,11024,28119,412,98.97,27.54,70.25,1.03,1047,Dallas County,Alabama
0500000US01049,"DeKalb County, Alabama",71200,60980,57441,979,10220,85.65,80.68,1.38,14.35,1049,DeKalb County,Alabama
0500000US01051,"Elmore County, Alabama",81212,78865,59471,17148,2347,97.11,73.23,21.12,2.89,1051,Elmore County,Alabama
0500000US01053,"Escambia County, Alabama",37328,36490,22480,11912,838,97.76,60.22,31.91,2.24,1053,Escambia County,Alabama
0500000US01055,"Etowah County, Alabama",102939,99059,80374,15816,3880,96.23,78.08,15.36,3.77,1055,Etowah County,Alabama
0500000US01057,"Fayette County, Alabama",16585,16300,14042,1858,285,98.28,84.67,11.2,1.72,1057,Fayette County,Alabama
0500000US01059,"Franklin County, Alabama",31542,26209,24313,1338,5333,83.09,77.08,4.24,16.91,1059,Franklin County,Alabama
0500000US01061,"Geneva County, Alabama",26491,25464,22235,2468,1027,96.12,83.93,9.32,3.88,1061,Geneva County,Alabama
0500000US01063,"Greene County, Alabama",8426,8283,1445,6707,143,98.3,17.15,79.6,1.7,1063,Greene County,Alabama
0500000US01065,"Hale County, Alabama",14887,14757,5898,8743,130,99.13,39.62,58.73,0.87,1065,Hale County,Alabama
0500000US01067,"Henry County, Alabama",17124,16676,11805,4727,448,97.38,68.94,27.6,2.62,1067,Henry County,Alabama
0500000US01069,"Houston County, Alabama",104352,100915,69826,27887,3437,96.71,66.91,26.72,3.29,1069,Houston County,Alabama
0500000US01071,"Jackson County, Alabama",52094,50589,46537,1799,1505,97.11,89.33,3.45,2.89,1071,Jackson County,Alabama
0500000US01073,"Jefferson County, Alabama",659892,634844,330862,280748,25048,96.2,50.14,42.54,3.8,1073,Jefferson County,Alabama
0500000US01075,"Lamar County, Alabama",13933,13715,11981,1558,218,98.44,85.99,11.18,1.56,1075,Lamar County,Alabama
0500000US01077,"Lauderdale County, Alabama",92585,90173,78501,9183,2412,97.39,84.79,9.92,2.61,1077,Lauderdale County,Alabama
0500000US01079,"Lawrence County, Alabama",33171,32464,25390,3615,707,97.87,76.54,10.9,2.13,1079,Lawrence County,Alabama
0500000US01081,"Lee County, Alabama",159287,153422,107395,36389,5865,96.32,67.42,22.84,3.68,1081,Lee County,Alabama
0500000US01083,"Limestone County, Alabama",93052,87573,71554,12405,5479,94.11,76.9,13.33,5.89,1083,Limestone County,Alabama
0500000US01085,"Lowndes County, Alabama",10236,10166,2505,7586,70,99.32,24.47,74.11,0.68,1085,Lowndes County,Alabama
0500000US01087,"Macon County, Alabama",19054,18726,2972,15583,328,98.28,15.6,81.78,1.72,1087,Macon County,Alabama
