GEO_ID,NAME,B05010_001E,B05010_002E,B05010_010E,B05010_018E,lt100,bt1_200,gt200,FIPS,County,State
0500000US01007,"Bibb County, Alabama",4488,1126,1822,1540,25.09,40.6,34.31,1007,Bibb County,Alabama
0500000US01009,"Blount County, Alabama",12750,3488,2448,6814,27.36,19.2,53.44,1009,Blount County,Alabama
0500000US01011,"Bullock County, Alabama",1997,809,766,422,40.51,38.36,21.13,1011,Bullock County,Alabama
0500000US01013,"Butler County, Alabama",4377,1633,1200,1544,37.31,27.42,35.28,1013,Butler County,Alabama
0500000US01015,"Calhoun County, Alabama",23755,7060,6422,10273,29.72,27.03,43.25,1015,Calhoun County,Alabama
0500000US01017,"Chambers County, Alabama",6692,2511,1724,2457,37.52,25.76,36.72,1017,Chambers County,Alabama
0500000US01019,"Cherokee County, Alabama",4829,1525,1256,2048,31.58,26.01,42.41,1019,Cherokee County,Alabama
0500000US01021,"Chilton County, Alabama",9962,2903,2776,4283,29.14,27.87,42.99,1021,Chilton County,Alabama
0500000US01023,"Choctaw County, Alabama",2547,817,402,1328,32.08,15.78,52.14,1023,Choctaw County,Alabama
0500000US01025,"Clarke County, Alabama",5378,1601,1013,2764,29.77,18.84,51.39,1025,Clarke County,Alabama
0500000US01027,"Clay County, Alabama",2759,629,1375,755,22.8,49.84,27.36,1027,Clay County,Alabama
0500000US01029,"Cleburne County, Alabama",3280,839,767,1674,25.58,23.38,51.04,1029,Cleburne County,Alabama
0500000US01031,"Coffee County, Alabama",11277,2934,2600,5743,26.02,23.06,50.93,1031,Coffee County,Alabama
0500000US01033,"Colbert County, Alabama",11113,2839,2464,5810,25.55,22.17,52.28,1033,Colbert County,Alabama
0500000US01035,"Conecuh County, Alabama",2596,1091,537,968,42.03,20.69,37.29,1035,Conecuh County,Alabama
0500000US01037,"Coosa County, Alabama",1831,493,634,704,26.93,34.63,38.45,1037,Coosa County,Alabama
0500000US01039,"Covington County, Alabama",7556,2206,2010,3340,29.2,26.6,44.2,1039,Covington County,Alabama
0500000US01041,"Crenshaw County, Alabama",2973,574,776,1623,19.31,26.1,54.59,1041,Crenshaw County,Alabama
0500000US01043,"Cullman County, Alabama",17314,4368,5137,7809,25.23,29.67,45.1,1043,Cullman County,Alabama
0500000US01045,"Dale County, Alabama",11321,3035,2251,6035,26.81,19.88,53.31,1045,Dale County,Alabama
0500000US01047,"Dallas County, Alabama",9796,5151,1980,2665,52.58,20.21,27.2,1047,Dallas County,Alabama
0500000US01049,"DeKalb County, Alabama",16583,4145,5538,6900,25,33.4,41.61,1049,DeKalb County,Alabama
0500000US01051,"Elmore County, Alabama",17619,3547,3184,10888,20.13,18.07,61.8,1051,Elmore County,Alabama
0500000US01053,"Escambia County, Alabama",7607,2464,2373,2770,32.39,31.19,36.41,1053,Escambia County,Alabama
0500000US01055,"Etowah County, Alabama",21495,6708,4999,9788,31.21,23.26,45.54,1055,Etowah County,Alabama
0500000US01057,"Fayette County, Alabama",3522,887,1169,1466,25.18,33.19,41.62,1057,Fayette County,Alabama
0500000US01059,"Franklin County, Alabama",7333,2773,2097,2463,37.82,28.6,33.59,1059,Franklin County,Alabama
0500000US01061,"Geneva County, Alabama",5443,2176,960,2307,39.98,17.64,42.38,1061,Geneva County,Alabama
0500000US01063,"Greene County, Alabama",1968,1321,325,322,67.12,16.51,16.36,1063,Greene County,Alabama
0500000US01065,"Hale County, Alabama",3238,1197,838,1203,36.97,25.88,37.15,1065,Hale County,Alabama
0500000US01067,"Henry County, Alabama",3469,722,921,1826,20.81,26.55,52.64,1067,Henry County,Alabama
0500000US01069,"Houston County, Alabama",23288,6739,5215,11334,28.94,22.39,48.67,1069,Houston County,Alabama
0500000US01071,"Jackson County, Alabama",10798,2740,3218,4840,25.38,29.8,44.82,1071,Jackson County,Alabama
0500000US01073,"Jefferson County, Alabama",143314,39038,28190,76086,27.24,19.67,53.09,1073,Jefferson County,Alabama
0500000US01075,"Lamar County, Alabama",2799,919,1029,851,32.83,36.76,30.4,1075,Lamar County,Alabama
0500000US01077,"Lauderdale County, Alabama",17991,4473,4083,9435,24.86,22.69,52.44,1077,Lauderdale County,Alabama
0500000US01079,"Lawrence County, Alabama",6992,1712,1831,3449,24.49,26.19,49.33,1079,Lawrence County,Alabama
0500000US01081,"Lee County, Alabama",31129,7338,6569,17222,23.57,21.1,55.32,1081,Lee County,Alabama
0500000US01083,"Limestone County, Alabama",19948,3633,4815,11500,18.21,24.14,57.65,1083,Limestone County,Alabama
0500000US01085,"Lowndes County, Alabama",2358,927,525,906,39.31,22.26,38.42,1085,Lowndes County,Alabama
0500000US01087,"Macon County, Alabama",3302,1316,880,1106,39.85,26.65,33.49,1087,Macon County,Alabama
0500000US01089,"Madison County, Alabama",75023,13846,13603,47574,18.46,18.13,63.41,1089,Madison County,Alabama
0500000US01091,"Marengo County, Alabama",4442,1522,1355,1565,34.26,30.5,35.23,1091,Marengo County,Alabama
0500000US01093,"Marion County, Alabama",5996,1472,1876,2648,24.55,31.29,44.16,1093,Marion County,Alabama
0500000US01095,"Marshall County, Alabama",21796,7179,6120,8497,32.94,28.08,38.98,1095,Marshall County,Alabama
0500000US01097,"Mobile County, Alabama",93463,25894,22418,45151,27.71,23.99,48.31,1097,Mobile County,Alabama
0500000US01099,"Monroe County, Alabama",5010,1921,1210,1879,38.34,24.15,37.5,1099,Monroe County,Alabama
0500000US01101,"Montgomery County, Alabama",52009,17099,11876,23034,32.88,22.83,44.29,1101,Montgomery County,Alabama
0500000US01103,"Morgan County, Alabama",26380,6115,6503,13762,23.18,24.65,52.17,1103,Morgan County,Alabama
0500000US01105,"Perry County, Alabama",2110,1154,559,397,54.69,26.49,18.82,1105,Perry County,Alabama
0500000US01107,"Pickens County, Alabama",3800,1341,1013,1446,35.29,26.66,38.05,1107,Pickens County,Alabama
0500000US01109,"Pike County, Alabama",6146,1774,1609,2763,28.86,26.18,44.96,1109,Pike County,Alabama
0500000US01111,"Randolph County, Alabama",4780,1363,1012,2405,28.51,21.17,50.31,1111,Randolph County,Alabama
